index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
15	融合理工学系	027	准教授	002	相樂	洋	さ	サガラ	ひろし	4	Hiroshi	Sagara	融合理工学系	027	原子核工学コース	004																									核不拡散	Nuclear non-proliferation	原子力安全	Nuclear safety	セキュリティ	Security	数値シミュレーション	Numerical simulation	http://www.lane.iir.titech.ac.jp/jp/member/data/sagara.html		key_rid=5000093262		ｻｶﾞﾗ	ﾋﾛｼ				
16	機械系	015	助教	004	澤田	哲生	さ	さわだ	てつお	4	Tetsuo	Sawada	機械系	015	原子核工学コース	004																																	http://www.lane.iir.titech.ac.jp/jp/member/data/tetsuo.html		key_rid=1000203868		ｻﾜﾀﾞ	ﾃﾂｵ				
17	融合理工学系	027	助教	004	島田	幹男	さ	しまだ	みきお	4	Mikio	Shimada	融合理工学系	027	原子核工学コース	004																									放射線生物学	Radiation biology	分子生物学	Molecular biology	DNA修復	DNA repair	ゲノム不安定性	Genome instability	http://www.nr.titech.ac.jp/jp/member/data/mshimada.html	http://www.nr.titech.ac.jp/jp/member/data/mshimada.html	key_t2r2Rid=CTT100685294		ｼﾏﾀﾞ	ﾐｷｵ				
18	応用化学系	021	准教授	002	鷹尾	康一朗	た	たかお	こういちろう	4	Koichiro	Takao	応用化学系	021	原子核工学コース	004	融合理工学系	027	原子核工学コース	004																					アクチノイド錯体化学	Coordination chemistry of actinides	イオン液体	Ionic liquids	核燃料サイクル	Nuclear fuel cycle	放射性廃棄物処理・処分	Treatment and disposal of radioactive wastes	http://www.nr.titech.ac.jp/~ktakao/	http://www.nr.titech.ac.jp/~ktakao/index_e.html	key_t2r2Rid=CTT100513483		ﾀｶｵ	ｺｳｲﾁﾛｳ				
19	応用化学系	021	助教	004	髙須	大輝	た	たかす	ひろき	4	Hiroki	Takasu	応用化学系	021	原子核工学コース	004																									エネルギー貯蔵・変換	Energy storage and conversion	二酸化炭素吸収	Carbon dioxide absorption	エネルギーキャリア	Energy carrier					key_rid=B000343281		ﾀｶｽ	ﾋﾛｷ				
20	機械系	015	助教	004	高橋	秀治	た	たかはし	ひではる	4	Hideharu	Takahashi	機械系	015	原子核工学コース	004																									原子力熱流動	Thermal hydraulics	原子力安全	Nuclear safety	廃棄物処理・処分	Waste treatment and disposal	除染	Decontamination	http://www.nr.titech.ac.jp/~kikura/?lang=ja	http://www.nr.titech.ac.jp/~kikura/	key_rid=B000219265		ﾀｶﾊｼ	ﾋﾃﾞﾊﾙ				
21	融合理工学系	027	特定准教授	010	竹内	正行	た	たけうち	まさゆき	4	Masayuki	Takeuchi	融合理工学系	027	原子核工学コース	004																																					ﾀｹｳﾁ	ﾏｻﾕｷ				
22	融合理工学系	027	教授	001	竹下	健二	た	たけした	けんじ	4	Kenji	Takeshita	融合理工学系	027	原子核工学コース	004	融合理工学系	027	地球環境共創コース	027																					核燃料サイクル工学	Nuclear Fuel Cycle Engineering 	核燃料再処理	Nuclear Fuel Reprocessing 	環境プロセス工学	Environmental Process Engineering	分離工学	Separation Engineering	http://www.nr.titech.ac.jp/~takeshita/index.html	http://www.nr.titech.ac.jp/~takeshita/index-e.html	key_rid=1000222093		ﾀｹｼﾀ	ｹﾝｼﾞ				
23	融合理工学系	027	教授	001	千葉	敏	た	ちば	さとし	1	Satoshi	Chiba	融合理工学系	027	原子核工学コース	004																									核反応工学	Nuclear reaction theory and data	核変換	Nuclear fission	放射線輸送シミュレーション	Nuclear transmutation		Nuclear astrophysics / Nuclear security / Nuclear disarmament	http://www.lane.iir.titech.ac.jp/jp/member/data/chiba.html	http://www.lane.iir.titech.ac.jp/en/member/data/chiba.html	key_t2r2Rid=CTT100635349		ﾁﾊﾞ	ｻﾄｼ				
24	応用化学系	021	准教授	002	塚原	剛彦	た	つかはら	たけひこ	4	Takehiko	Tsukahara	応用化学系	021	原子核工学コース	004	応用化学系	021	応用化学コース	021	融合理工学系	027	原子核工学コース	004																	核燃料サイクル関連化学	Nuclear fuel cycle	放射性廃棄物処理処分	Nuclear waste managemenet	マイクロ・ナノ分析化学	Micro-nano analytical chemistry	機能性高分子化学	Functional polymer chemistry	http://www.nr.titech.ac.jp/~ptsuka/	http://www.nr.titech.ac.jp/~ptsuka/	key_t2r2Rid=CTT100557023		ﾂｶﾊﾗ	ﾀｹﾋｺ				
