index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	材料系	020	助教	004	梅本	晋	あ	うめもと	すすむ	5	Susumu	Umemoto	材料系	020	材料コース	020																									高分子の結晶化	Crystalization of polymers	高分子結晶の成長機構	Crystal growth mechanism for polymers	高分子結晶の核発生機構	Nucleation mechanism for polymers	高分子結晶の構造	Structure of polymer crystals			key_rid=1000279086		ｳﾒﾓﾄ	ｽｽﾑ																																																			
	材料系	020	助教	004	オ	ミンホ	あ	お	みんほ	3	Minho	O	材料系	020	材料コース	020																																			key_rid=B000311623		ｵ	ﾐﾝﾎ																																																			
	材料系	020	教授	001	扇澤	敏明	あ	おうぎざわ	としあき	3	Toshiaki	Ougizawa	材料系	020	材料コース	020																									有機材料物性	Physical properties of organic materials	ポリマーアロイ	Polymer alloys	複合材料	Composites	接着界面	Interfacial adhesion	http://www.op.titech.ac.jp/lab/ougizawa/index.html	http://www.op.titech.ac.jp/lab/ougizawa/CCP012.html	key_rid=1000181715		ｵｳｷﾞｻﾞﾜ	ﾄｼｱｷ																																																			
	材料系	020	助教	004	大井	梓	あ	おおい	あずさ	3	Azusa	Ooi	材料系	020	材料コース	020																									電気化学	Electrochemistry	腐食科学	Corrosion science	燃料電池	Fuel cell	金属工学	Metallurgy	http://www.elechemcorr.mtl.titech.ac.jp/	http://www.elechemcorr.mtl.titech.ac.jp/index-e.html	key_rid=B000323389		ｵｵｲ	ｱｽﾞｻ																																																			
	材料系	020	教授	001	大内	幸雄	あ	おおうち	ゆきお	3	Yukio	Ouchi	材料系	020	材料コース	020																									物理化学	Physical chemistry	分光物質理工学	Spectroscopy for materials science and engineering	イオン液体	Ionic ｌiquids	有機	Organic	http://www.op.titech.ac.jp/lab/ouchi/index.html	http://www.op.titech.ac.jp/lab/ouchi/eng/index.html	key_rid=1000024758		ｵｵｳﾁ	ﾕｷｵ																																																			
	材料系	020	教授	001	大友	明	あ	おおとも	あきら	3	Akira	Ohtomo	応用化学系	021	応用化学コース	021	材料系	020	材料コース	020																					無機固体化学	Inorganic solid-state chemistry	結晶工学	Crystal engineering	酸化物エレクトロニクス	Oxide electronic			http://www.ohtomo.apc.titech.ac.jp/	http://www.ohtomo.apc.titech.ac.jp/?lang=en	key_rid=5000025943		ｵｵﾄﾓ	ｱｷﾗ																																																			
	材料系	020	教授	001	大場	史康	あ	おおば	ふみやす	3	Fumiyasu	Oba	材料系	020	材料コース	020																									計算材料科学	Computational materials science	マテリアルズインフォマティクス	Materials informatics	電子材料	Electronic materials	エネルギー材料	Energy materials	https://www.cms-mi.msl.titech.ac.jp		key_rid=5000081720		ｵｵﾊﾞ	ﾌﾐﾔｽ																																																			
	材料系	020	助教	004	大曲	駿	あ	おおまがり	しゅん	3	Shun	Omagari	材料系	020	材料コース	020																																			key_rid=R000002745		ｵｵﾏｶﾞﾘ	ｼｭﾝ																																																			
	材料系	020	教授	001	尾中	晋	あ	おなか	すすむ	3	Susumu	Onaka	材料系	020	材料コース	020																									金属	Metals and alloys	変形と破壊	Deformation and fracture	強度	Strength	材料物理	Materials science	http://kamonohashi.iem.titech.ac.jp/onaka_folder/onaka/index.html	http://kamonohashi.iem.titech.ac.jp/onaka_folder/onaka/index_E.html	key_rid=1000027502		ｵﾅｶ	ｽｽﾑ																																																			
	材料系	020	准教授	002	片瀬	貴義	か	かたせ	たかよし	3	Takayoshi	Katase	材料系	020	材料コース	020																									酸化物エレクトロニクス	Oxide electronics	エネルギーデバイス	Energy device	環境発電	Energy harvesting	薄膜	Thin film	http://www.msl.titech.ac.jp/~tkamiya/index.html	http://www.msl.titech.ac.jp/~tkamiya/index-e.html	key_rid=B000230957		ｶﾀｾ	ﾀｶﾖｼ																																																			
	材料系	020	准教授	002	鎌田	慶吾	か	かまだ	けいご	3	Keigo	Kamata	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					触媒	Catalyst	化学反応	Chemical reaction	無機	Inorganic	不均一系触媒作用	Heterogeneous catalysis	http://www.msl.titech.ac.jp/~hara/index.html	http://www.msl.titech.ac.jp/~hara/index-e.html	key_rid=5000089770		ｶﾏﾀﾞ	ｹｲｺﾞ																																																			
	材料系	020	教授	001	神谷	利夫	か	かみや	としお	3	Toshio	Kamiya	材料系	020	材料コース	020																									材料科学	Materials science	半導体デバイス	Semiconductor devices	計算材料科学	Simulation	電子構造解析	Electronic structure and carrier transport	http://www.msl.titech.ac.jp/~tkamiya/	http://www.msl.titech.ac.jp/~tkamiya/index-e.html	key_rid=1000015256		ｶﾐﾔ	ﾄｼｵ																																																			
	材料系	020	教授	001	川路	均	か	かわじ	ひとし	3	Hitoshi	Kawaji	材料系	020	材料コース	020																									無機	Inorganic 	固体物性	Solid state physics	機能性材料	Functional materials	熱的性質	Thermal properties	http://www.msl.titech.ac.jp/~kawaji/	http://www.msl.titech.ac.jp/~kawaji/	key_rid=1000275269		ｶﾜｼﾞ	ﾋﾄｼ																																																			
	材料系	020	准教授	002	河村	憲一	か	かわむら	けんいち	3	Kenichi	Kawamura	材料系	020	材料コース	020																									固体化学	Solid chemistry	金属高温酸化	High temperature oxidation of metals	固体電気化学	Electrochemistry in solid			http://www.mkg.mtl.titech.ac.jp/	http://www.mkg.mtl.titech.ac.jp/index-e.html	key_rid=1000279184		ｶﾜﾑﾗ	ｹﾝｲﾁ																																																			
	材料系	020	助教	004	岸	哲生	か	きし	てつお	3	Tetsuo	Kishi	材料系	020	材料コース	020																									ガラス材料	Glass material	応用光学	Applied optics					http://www.garaken.com/		key_rid=5000085805		ｷｼ	ﾃﾂｵ																																																			
	材料系	020	助教	004	喜多	祐介	か	きた	ゆうすけ	3	Yusuke	Kita	材料系	020	材料コース	020																																			key_t2r2Rid=CTT100702390		ｷﾀ	ﾕｳｽｹ																																																			
	材料系	020	助教	004	気谷	卓	か	きたに	すぐる	3	Suguru	Kitani	材料系	020	材料コース	020																									熱物性測定	Calorimetry and Thermal analysis	フラストレート磁性体	Frustrated magnet	熱伝導スイッチング材料	Thermal conductivity switching	リラクサー誘電体	Relaxor ferroelectric	http://www.msl.titech.ac.jp/~kawaji/	http://www.msl.titech.ac.jp/~kawaji/index-e.html	key_rid=B000368447		ｷﾀﾆ	ｽｸﾞﾙ																																																			
	材料系	020	准教授	002	北野	政明	か	きたの	まさあき	3	Masaaki	Kitano	材料系	020	材料コース	020																									触媒化学	Catalysis	無機材料合成	Synthesis of inorganic material	アンモニア合成	Ammonia synthesis	酸・塩基触媒	Acid and base catallyst	http://www.mces.titech.ac.jp/authors/kitano/index.html		key_rid=B000238180		ｷﾀﾉ	ﾏｻｱｷ																																																			
	材料系	020	教授	001	北本	仁孝	か	きたもと	よしたか	3	Yoshitaka	Kitamoto	材料系	020	ライフエンジニアリングコース	003	材料系	020	材料コース	020																					磁性材料・磁気デバイス	Magnetic materials and devices	バイオ材料・デバイス	Biomaterials and biodevices	ナノ材料・デバイス	Nanomaterials and nanodevices			http://www.kitamoto.iem.titech.ac.jp	http://www.kitamoto.iem.titech.ac.jp	key_rid=1000203906		ｷﾀﾓﾄ	ﾖｼﾀｶ																																																			
	材料系	020	助教	004	金	正煥	か	きむ	じょんふぁん	3	Junghwan	Kim	材料系	020	材料コース	020																									アモルファス酸化物半導体	Amorphous oxide semiconductors	薄膜トランジスタ	Thin film transistor	オプトエレクトロニック素子	Optoelectronic devices			http://t2r2.star.titech.ac.jp/cgi-bin/researcherpublicationlist.cgi?q_researcher_content_number=CTT100645202&alldisp=1&tab_yf=2018	http://t2r2.star.titech.ac.jp/cgi-bin/researcherinfo.cgi?lv=en&q_researcher_content_number=CTT100645202	key_rid=7000017627		ｷﾑ	ｼﾞｮﾝﾌｧﾝ																																																			
	材料系	020	教授	001	木村	好里	か	きむら	よしさと	3	Yoshisato	Kimura	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					熱電材料	Thermoelectric materials	耐熱合金	Heat resistant alloys	結晶構造・組織制御	Crystal structure and microstructure control	金属	Metallurgy	http://j3www.materia.titech.ac.jp/mishima-kimura/	http://j3www.materia.titech.ac.jp/mishima-kimura/index_eng.html	key_rid=1000181712		ｷﾑﾗ	ﾖｼｻﾄ																																																			
	材料系	020	助教	004	邱	琬婷	か	きゅう	おんてい	1	Wan-Ting	Chiu	材料系	020	材料コース	020																									金属物性	Physical metallurgy	電気化学	Electrochemistry	状態図	Phase diagram	形状記憶合金	Shape memory alloy	http://www.mater.pi.titech.ac.jp/index.html	http://www.mater.pi.titech.ac.jp/index.html	key_t2r2Rid=CTT100697879		ｷｭｳ	ｵﾝﾃｲ																																																			
	材料系	020	助教	004	久保田	雄太	か	くぼた	ゆうた	3	Yuta	Kubota	材料系	020	材料コース	020																									溶液プロセス	Solution process	液中成膜	Liquid phase deposition	機能性無機材料	Functional ceramics	メソクリスタル	Mesocrystal	http://intelligent-processes-tokyo.tech/	http://intelligent-processes-tokyo.tech/?lang=en	key_t2r2Rid=CTT100606228		ｸﾎﾞﾀ	ﾕｳﾀ																																																			
	材料系	020	助教	004	久保山	敬一	か	くぼやま	けいいち	3	Keiichi	Kuboyama	材料系	020	材料コース	020																									高分子の構造と物性	Structure and physical properties of polymers	高分子の光学特性	Optical properties of polymers	高分子ブレンド・コンポジット	Polymer blends and composites	高分子の計算機シミュレーション	Computer simulation of polymer properties	http://www.op.titech.ac.jp/lab/ougizawa/	http://www.op.titech.ac.jp/lab/ougizawa/CCP012.html	key_rid=1000321722		ｸﾎﾞﾔﾏ	ｹｲｲﾁ																																																			
	材料系	020	教授	001	熊井	真次	か	くまい	しんじ	3	Shinji	Kumai	材料系	020	材料コース	020																									軽金属材料の組織と特性	Light metals and alloys	新規鋳造プロセス開発	Advanced casting process	先端的手法による異種金属接合	Dissimilar metal joining	疲労と破壊	Fatigue and fracture	http://www.kumai.mtl.titech.ac.jp/	http://www.kumai.mtl.titech.ac.jp/	key_rid=1000275405		ｸﾏｲ	ｼﾝｼﾞ																																																			
