index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
17	融合理工学系	027	教授	001	クロス	ジェフリー　S.	か	くろす	じぇふりー すこっと	1	Jeffrey S.	Cross	融合理工学系	027	エネルギーコース	001	材料系	020	材料コース	020	融合理工学系	027	地球環境共創コース	027																	化学工学	Chemical engineering	材料工学	Materials science	AI教育	AI in education	エネルギー政策	Energy policy	https://jscross18.wixsite.com/crosslab	https://jscross18.wixsite.com/crosslab	key_rid=6000012476		ｸﾛｽ	ｼﾞｪﾌﾘｰ ｽｺｯﾄ		
	融合理工学系	027	助教	004	小山	光彦	か	こやま	みつひこ	3	Mitsuhiko	Koyama	融合理工学系	027	地球環境共創コース	027																									環境生物工学	Environmental bioengineering	廃棄物バイオマスの有効利用	Utilization of waste biomass							key_t2r2Rid=CTT100763072		ｺﾔﾏ	ﾐﾂﾋｺ		
18	融合理工学系	027	助教	004	齋藤	健太郎	さ	さいとう	けんたろう	4	Kentaro	Saito	融合理工学系	027	地球環境共創コース	027																									無線通信	Telecommunication	移動無線通信システム	Mobile wireless communication system	無線伝搬	Radio propagation			http://www.ap.ide.titech.ac.jp/index-j.html	http://www.ap.ide.titech.ac.jp/index.html	key_rid=B000339769		ｻｲﾄｳ	ｹﾝﾀﾛｳ		
20	融合理工学系	027	特任教授	005	佐々木	正和	さ	ささき	まさかず	4	Masakazu	Sasaki	融合理工学系	027	地球環境共創コース	027																																			key_t2r2Rid=CTT100692410		ｻｻｷ	ﾏｻｶｽﾞ		
42	融合理工学系	027	准教授	002	佐藤	由利子	さ	さとう	ゆりこ	4	Yuriko	Sato	融合理工学系	027	地球環境共創コース	027																									留学生政策	International student policy	人材の移動と循環	Human mobility and circulation 	多文化共創	Multicultural synergy	外国人受入れのための社会環境	Social environment for foreigners	http://www.tse.ens.titech.ac.jp/~yusato/	http://www.tse.ens.titech.ac.jp/~yusato/	key_rid=1000321776		ｻﾄｳ	ﾕﾘｺ		
	融合理工学系	027	助教	004	スワンティープ	クルティプ	さ	すわんてぃーぷ	くるてぃぷ	4	Kultip	Suwanteep	融合理工学系	027	地球環境共創コース	027																																			key_t2r2Rid=CTT100662171		ｽﾜﾝﾃｨｰﾌﾟ	ｸﾙﾃｨﾌﾟ		
22	融合理工学系	027	准教授	002	高木	泰士	た	たかぎ	ひろし	4	Hiroshi	Takagi	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					沿岸域防災	Coastal disaster mitigation	国際開発	International development	海岸・海洋工学	Coastal and ocean engineering	気候変動影響	Climate change impact	http://www.ide.titech.ac.jp/~takagi/	http://www.ide.titech.ac.jp/~takagi/	key_rid=B000224566		ﾀｶｷﾞ	ﾋﾛｼ		
48	融合理工学系	027	教授	001	高田	潤一	た	たかだ	じゅんいち	4	Jun-ichi 	Takada	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002																					無線通信	Telecommunication	無線伝搬測定　電波応用センシング・計測	Radio propagation measurement	電磁界シミュレーション	Electromagnetic simulation	ICTと国際開発	International development engineering	http://www.ap.ide.titech.ac.jp/index-j.html	http://www.ap.ide.titech.ac.jp/index.html	key_rid=1000010459		ﾀｶﾀﾞ	ｼﾞｭﾝｲﾁ		
24	融合理工学系	027	教授	001	高橋	邦夫	た	たかはし	くにお	4	Kunio	Takahashi	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002	融合理工学系	027	エネルギーコース	001																	機械工学	Mechanical engineering	材料工学	Material science	接合工学	Welding and joining 	トライボロジー	Tribology	http://www.ide.titech.ac.jp/~KT-lab/	http://www.ide.titech.ac.jp/~KT-lab/	key_rid=1000015374		ﾀｶﾊｼ	ｸﾆｵ		
50	融合理工学系	027	准教授	002	高橋	史武	た	たかはし	ふみたけ	4	Fumitake	Takahashi	融合理工学系	027	地球環境共創コース	027																									廃棄物リサイクル工学	Waste recycle	環境リスク評価	Waste management	感性工学	Environmental risk	デザインと人間行動	Human behaviors	http://www.tf.depe.titech.ac.jp/index.html	http://www.tf.depe.titech.ac.jp/index.html	key_rid=5000092541		ﾀｶﾊｼ	ﾌﾐﾀｹ		
