index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
15	融合理工学系	027	准教授	002	高木	泰士	た	たかぎ	ひろし	4	Hiroshi	Takagi	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					沿岸域防災	Coastal disaster mitigation	国際開発	International development	海岸・海洋工学	Coastal and ocean engineering	気候変動影響	Climate change impact	http://www.ide.titech.ac.jp/~takagi/	http://www.ide.titech.ac.jp/~takagi/	key_rid=B000224566		ﾀｶｷﾞ	ﾋﾛｼ
16	土木・環境工学系	026	教授	001	高橋	章浩	た	たかはし	あきひろ	4	Akihiro	Takahashi	土木・環境工学系	026	土木工学コース	026																									地盤工学	Geotechnical engineering	防災工学	Disaster mitigation technology					http://www.geotech.cv.titech.ac.jp/	http://www.geotech.cv.titech.ac.jp/	key_rid=1000279205		ﾀｶﾊｼ	ｱｷﾋﾛ
17	土木・環境工学系	026	准教授	002	竹村	次朗	た	たけむら	じろう	4	Jiro	Takemura	土木・環境工学系	026	土木工学コース	026	土木・環境工学系	026	エンジニアリングデザインコース	002	融合理工学系	027	エンジニアリングデザインコース	002																	地盤工学	Geotechnical engineering	地盤環境工学	Geo-environmental engineering					http://www.geotech.cv.titech.ac.jp/index.html	http://www.geotech.cv.titech.ac.jp/index.html	key_rid=1000203911		ﾀｹﾑﾗ	ｼﾞﾛｳ
	土木・環境工学系	026	特任講師	007	竹谷	晃一	た	たけや	こういち	4	Kouichi	Takeya	土木・環境工学系	026	土木工学コース	026																																			key_t2r2Rid=CTT100511003		ﾀｹﾔ	ｺｳｲﾁ
18	土木・環境工学系	026	准教授	002	千々和	伸浩	た	ちぢわ	のぶひろ	1	Nobuhiro	Chijiwa	土木・環境工学系	026	土木工学コース	026																									コンクリート材料-構造連成領域	Multi-scale dynamics of structural concrete	劣化構造物残存性能評価	Performance assesment of deteriorated structure	構造物長期時間依存変形	Time-dependent deformation of structures	応用生命工学	Applied biotechnology	http://maintenance.cv.titech.ac.jp/	http://maintenance.cv.titech.ac.jp/english/	key_t2r2Rid=CTT100647198		ﾁﾁﾞﾜ	ﾉﾌﾞﾋﾛ
19	土木・環境工学系	026	助教	004	中西	航	な	なかにし	わたる	3	Wataru	Nakanishi	土木・環境工学系	026	土木工学コース	026																									観測とシミュレーションの統合	Data assimilation	歩行者交通	Pedestrian dynamics	時系列解析	Time series analysis	交通行動分析	Travel behavior analysis	https://sites.google.com/site/nakanishiwataru/	https://sites.google.com/site/nakanishiwataru/	key_t2r2Rid=CTT100734003		ﾅｶﾆｼ	ﾜﾀﾙ
20	融合理工学系	027	准教授	002	中村	恭志	な	なかむら	たかし	3	Takashi	Nakamura	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					水環	Water environment	水理学	Hydraulics	数値流体力学	Computer fluid dynamics	計算物理	Computational physics	http://fa.depe.titech.ac.jp/nakamura/nakamura/	http://fa.depe.titech.ac.jp/nakamura/nakamura/	key_rid=5000039834		ﾅｶﾑﾗ	ﾀｶｼ
21	融合理工学系	027	准教授	002	中村	隆志	な	なかむら	たかし	3	Takashi	Nakamura	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					生態系モデリング	Ecosystem modeling	生物地球化学	Biogeochemistry	沿岸生態学	Coastal ecology			http://www.nakamulab.mei.titech.ac.jp/	http://www.nakamulab.mei.titech.ac.jp/	key_t2r2Rid=CTT100669192		ﾅｶﾑﾗ	ﾀｶｼ
22	土木・環境工学系	026	助教	004	中山	一秀	な	なかやま	かずひで	3	Kazuhide	Nakayama	土木・環境工学系	026	土木工学コース	026																									維持管理工学	Maintenance management engineering	コンクリート工学	Concrete engineering	土木材料	Civil engineering materials			http://maintenance.cv.titech.ac.jp	http://maintenance.cv.titech.ac.jp/english/	key_t2r2Rid=CTT100771400		ﾅｶﾔﾏ	ｶｽﾞﾋﾃﾞ
23	土木・環境工学系	026	教授	001	二羽	淳一郎	な	にわ	じゅんいちろう	3	Junichiro	Niwa	土木・環境工学系	026	土木工学コース	026																									コンクリート構造	Structural concrete	コンクリート工学	Concrete technology	プレストレストコンクリート	Prestressed concrete	新素材	New materials	http://www.cv.titech.ac.jp/~niwa-lab/	http://www.cv.titech.ac.jp/~niwa-lab/english_top/framepage1.html	key_rid=1000275198		ﾆﾜ	ｼﾞｭﾝｲﾁﾛｳ
24	融合理工学系	027	教授	001	花岡	伸也	は	はなおか	しんや	2	Shinya	Hanaoka	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					交通開発学	Transport development studies	航空政策	Air transport	交通ロジスティクス	Transport logistics	交通インフラマネジメント	Transport infrastructure management	http://www.ide.titech.ac.jp/~hanaoka/	http://www.ide.titech.ac.jp/~hanaoka/	key_t2r2Rid=CTT100512877		ﾊﾅｵｶ	ｼﾝﾔ
