index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	数理・計算科学系	022	特定教授	009	菅谷	光啓	さ	すがや	みつよし	4	Mitsuyoshi	Sugaya	数理・計算科学系	022	数理・計算科学コース	022																																					ｽｶﾞﾔ	ﾐﾂﾖｼ		
	数理・計算科学系	022	准教授	002	鈴木	咲衣	さ	すずき	さきえ	4	Sakie	Suzuki	数理・計算科学系	022	数理・計算科学コース	022	数学系	011	数学コース	011																					結び目理論	Knot theory	量子トポロジー	Quantum topology					http://www.is.c.titech.ac.jp/~sakie/sakietech/homu.html	http://www.is.c.titech.ac.jp/~sakie/sakietech/Home.html	key_rid=7000009611		ｽｽﾞｷ	ｻｷｴ		
	数理・計算科学系	022	特定准教授	010	鈴木	大慈	さ	すずき	たいじ	4	Taiji	Suzuki	数理・計算科学系	022	数理・計算科学コース	022																									機械学習	Machine learning	統計学	Statistics	数理最適化	Mathematical optimization			http://www.is.titech.ac.jp/~s-taiji/	http://www.is.titech.ac.jp/~s-taiji/			ｽｽﾞｷ	ﾀｲｼﾞ		
	数理・計算科学系	022	講師	003	澄田	範奈	さ	すみた	はんな	4	Hanna	Sumita	数理・計算科学系	022	数理・計算科学コース	022																									組合せ最適化	Combinatorial optimization	アルゴリズム	Algorithms					https://alg.c.titech.ac.jp/sumita/	https://alg.c.titech.ac.jp/sumita/			ｽﾐﾀ	ﾊﾝﾅ		
	数理・計算科学系	022	助教	004	叢	悠悠	さ	そう	ゆうゆう	1	Youyou	Cong	数理・計算科学系	022	数理・計算科学コース	022																									プログラミング言語	Programming Languages	型理論	Type Theory					https://sites.google.com/site/youyoucong212/	https://sites.google.com/site/youyoucong212/			ｿｳ	ﾕｳﾕｳ		
	数理・計算科学系	022	助教	004	髙澤	光彦	た	たかさわ	みつひこ	4	Mitsuhiko	Takasawa	数理・計算科学系	022	数理・計算科学コース	022																									トポロジー	Topology	双曲幾何学	Hyperbolic geometry	写像類群	Mapping class group			http://www.is.titech.ac.jp/~takasawa/	http://www.is.titech.ac.jp/~takasawa/	key_rid=1000321749		ﾀｶｻﾜ	ﾐﾂﾋｺ		
	数理・計算科学系	022	助教	004	高橋	仁	た	たかはし	じん	4	Jin	Takahashi	数理・計算科学系	022	数理・計算科学コース	022																									偏微分方程式論	Theory of partial differential equations	非線形放物型方程式	Nonlinear parabolic equations					http://www.is.titech.ac.jp/~jtakahashi/index.html	http://www.is.titech.ac.jp/~jtakahashi/index.html	key_rid=B000327487		ﾀｶﾊｼ	ｼﾞﾝ		
	数理・計算科学系	022	教授	001	高安	美佐子	た	たかやす	みさこ	4	Misako	Takayasu	数理・計算科学系	022	知能情報コース	005	システム制御系	016	システム制御コース	016	数理・計算科学系	022	数理・計算科学コース	022	情報工学系	023	知能情報コース	005													ビッグデータ解析	Big data analysis	"社会・経済物理学, 生物物理学"	"Econo-sociophysics,biophysics"	現象数理モデリング・シミュレーション	Modeling and simulation of complex phenomena 	統計物理学	Statistical physics	http://www.smp.dis.titech.ac.jp/	http://www.smp.dis.titech.ac.jp/en/	key_rid=5000085874		ﾀｶﾔｽ	ﾐｻｺ		
	数理・計算科学系	022	教授	001	田中	圭介	た	たなか	けいすけ	4	Keisuke	Tanaka	数理・計算科学系	022	数理・計算科学コース	022																									暗号理論	Theory of cryptography	情報セキュリティ	Information security	計算理論	Theory of computaiton	数学	Mathematics	http://www.is.titech.ac.jp/~keisuke/index-j.html	http://www.is.titech.ac.jp/~keisuke/index-e.html	key_rid=1000326028		ﾀﾅｶ	ｹｲｽｹ		
	数理・計算科学系	022	講師	003	土岡	俊介	た	つちおか	しゅんすけ	4	Shunsuke	Tsuchioka	数理・計算科学系	022	数理・計算科学コース	022																									表現論	Representation Theory	量子代数	Quantum Algebra	圏論化	Categorification	リー理論	Lie Theory	http://www.is.c.titech.ac.jp/~s.tsuchioka/index_jp.html	http://www.is.c.titech.ac.jp/~s.tsuchioka/index.html	key_rid=B000379707		ﾂﾁｵｶ	ｼｭﾝｽｹ		
	数理・計算科学系	022	特定教授	009	寺嶋	郁二	た	てらしま	ゆうじ	4	Yuji	Terashima	数理・計算科学系	022	数理・計算科学コース	022																									微分トポロジー	Differential topology	数理物理	Mathematical physics	数論的トポロジー	Arithmetic topology							ﾃﾗｼﾏ	ﾕｳｼﾞ		
	数理・計算科学系	022	特定准教授	010	時田	剛	た	ときだ	ごう	4	Go	Tokida	数理・計算科学系	022	数理・計算科学コース	022																																					ﾄｷﾀﾞ	ｺﾞｳ		
