index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
13	生命理工学系	024	教授	001	岩崎	博史	あ	いわさき	ひろし	2	Hiroshi	Iwasaki	生命理工学系	024	生命理工学コース	024																									相同組換え	Homologous recombination	DNA修復	DNA repair	染色体生物学	Chromosome biology	ゲノム動態	Genome dynamics	http://www.iwasakilab.bio.titech.ac.jp	http://www.iwasakilab.bio.titech.ac.jp/index-e.html	key_rid=1000362686		ｲﾜｻｷ	ﾋﾛｼ																																																														
14	生命理工学系	024	教授	001	上田	宏	あ	うえだ	ひろし	5	Hiroshi	Ueda	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					抗体工学	Antibody engineering	酵素工学	Enzyme engineering	バイオセンサー	Biosensor			http://www.ueda.res.titech.ac.jp/	http://www.ueda.res.titech.ac.jp/index_en.html	key_rid=5000045077		ｳｴﾀﾞ	ﾋﾛｼ																																																														
15	生命理工学系	024	教授	001	上野	隆史	あ	うえの	たかふみ	5	Takafumi	Ueno	生命理工学系	024	生命理工学コース	024																									タンパク質工学	Protein engineering	生物無機化学	Bioinorganic chemistry	バイオマテリアル	Biomaterials	ケミカルバイオロジー	Chemical biology	http://www.ueno.bio.titech.ac.jp/	http://www.ueno.bio.titech.ac.jp/en/index.html	key_rid=1000313700		ｳｴﾉ	ﾀｶﾌﾐ																																																														
16	生命理工学系	024	教授	001	占部	弘和	あ	うらべ	ひろかず	5	Hirokazu	Urabe	生命理工学系	024	生命理工学コース	024																									有機化学	Organic chemistry	合成化学	Synthetic chemistry	医薬品化学	Pharmaceutical chemistry	天然物化学	Natural products chemistry	http://www.urabe-lab.bio.titech.ac.jp	http://www.urabe-lab.bio.titech.ac.jp	key_rid=1000016062		ｳﾗﾍﾞ	ﾋﾛｶｽﾞ																																																														
17	生命理工学系	024	准教授	002	大窪	章寛	あ	おおくぼ	あきひろ	3	Akihiro	Ohkubo	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					生物有機化学	Bioorganic chemistry	核酸化学	Nucleic acids chemistry	核酸医薬	Nucleic acids drug			http://www.ohkubo.bio.titech.ac.jp/	http://www.ohkubo.bio.titech.ac.jp/	key_rid=6000003421		ｵｵｸﾎﾞ	ｱｷﾋﾛ																																																														
18	生命理工学系	024	教授	001	太田	啓之	あ	おおた	ひろゆき	3	Hiroyuki 	Ohta	生命理工学系	024	生命理工学コース	024																									植物生理学	Plant physiology	植物分子生物学	Plant molecular biology	植物生化学	Plant biochemistry			http://www.plantmorphogenesis.bio.titech.ac.jp/~official/	http://www.plantmorphogenesis.bio.titech.ac.jp/~official/	key_rid=1000016025		ｵｵﾀ	ﾋﾛﾕｷ																																																														
19	生命理工学系	024	助教	004	岡田	有意	あ	おかだ	うい	3	Ui	Okada	生命理工学系	024	生命理工学コース	024																									蛋白質科学	Protein science	構造生物学	Structural biology					http://www.xtal.bio.titech.ac.jp/top-j.html	http://www.xtal.bio.titech.ac.jp/top-e.html	key_t2r2Rid=CTT100590280		ｵｶﾀﾞ	ｳｲ																																																														
	生命理工学系	024	准教授	002	岡田	智	あ	おかだ	さとし	3	Satoshi	Okada	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					分子イメージング	Molecular imaging	ケミカルバイオロジー	Chemical biology	材料化学	Materials chemistry	生物工学	Biological engineering	http://syn.res.titech.ac.jp/	http://syn.res.titech.ac.jp/en/	key_rid=B000300367		ｵｶﾀﾞ	ｻﾄｼ																																																														
20	生命理工学系	024	助教	004	奥村	英一	あ	おくむら	えいいち	3	Ei-ichi	Okumura	生命理工学系	024	生命理工学コース	024																									細胞周期	Cell cycle	細胞内情報伝達	Signal transduction	タンパク質リン酸化酵素	Kinase	減数分裂	Meiosis			key_rid=1000321718		ｵｸﾑﾗ	ｴｲｲﾁ																																																														
21	生命理工学系	024	准教授	002	小倉	俊一郎	あ	おぐら	しゅんいちろう	3	Shun-ichiro	Ogura	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					生化学	Biochemistry	腫瘍生物学	Tumor biology	分子生物学	Molecular biology	光化学	Photochemistry	http://www.ogura.bio.titech.ac.jp/	http://www.ogura.bio.titech.ac.jp/	key_rid=1000326057		ｵｸﾞﾗ	ｼｭﾝｲﾁﾛｳ																																																														
