index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
17	生命理工学系	024	准教授	002	小倉	俊一郎	あ	おぐら	しゅんいちろう	3	Shun-ichiro	Ogura	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					生化学	Biochemistry	腫瘍生物学	Tumor biology	分子生物学	Molecular biology	光化学	Photochemistry	http://www.ogura.bio.titech.ac.jp/	http://www.ogura.bio.titech.ac.jp/	key_rid=1000326057		ｵｸﾞﾗ	ｼｭﾝｲﾁﾛｳ				
18	情報通信系	018	准教授	002	小尾	高史	あ	おび	たかし	3	Takashi	Obi	情報通信系	018	情報通信コース	018	情報通信系	018	ライフエンジニアリングコース	003																					社会情報システム	Social information systems	医療情報システム	Medical information systems	医用画像	Medical imaging	情報セキュリティ	Information security			key_rid=1000275204		ｵﾋﾞ	ﾀｶｼ				
19	機械系	015	教授	001	小俣	透	あ	おまた	とおる	3	Toru	Omata	機械系	015	ライフエンジニアリングコース	003	機械系	015	機械コース	015																					ロボティクス	Robotics	医療ロボティクス	Medical robotics	バイオマイクロデバイス	Bioｍicro ｄevices			http://www.bmm.mech.e.titech.ac.jp/	http://www.bmm.mech.e.titech.ac.jp/index_eng.html	key_rid=7000018153		ｵﾏﾀ	ﾄｵﾙ				
	生命理工学系	024	准教授	002	折原	芳波	あ	おりはら	かなみ	3	Kanami	Orihara	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					免疫学	Immunology	アレルギー疾患	Allergic diseases	感染症	Infectious diseases	体内時計	Circadian rhythm			key_rid=5000092315		ｵﾘﾊﾗ	ｶﾅﾐ				
20	電気電子系	017	教授	001	梶川	浩太郎	か	かじかわ	こうたろう	3	Kotaro	Kajikawa	電気電子系	017	ライフエンジニアリングコース	003	電気電子系	017	電気電子コース	017																					プラズモニクス	Plasmonics	メタマテリアル	Metamaterial	光機能材料	Optical materials	液晶	Liquid crystals	http://www.opt.ip.titech.ac.jp/index_j.htm	http://www.opt.ip.titech.ac.jp/index.html	key_rid=1000279132		ｶｼﾞｶﾜ	ｺｳﾀﾛｳ				
22	生命理工学系	024	助教	004	門之園	哲哉	か	かどのその	てつや	3	Tetsuya	Kadonosono	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					タンパク質工学	Protein engineering	バイオ医薬品創薬	Biopharmaceutical drug development	ドラッグデリバリーシステム	Drug delivery system	分子イメージング	Molecular imaging	http://www.kondohlab.bio.titech.ac.jp/	http://www.kondohlab.bio.titech.ac.jp/?lang=en	key_rid=5000060398		ｶﾄﾞﾉｿﾉ	ﾃﾂﾔ				
23	情報通信系	018	教授	001	金子	寛彦	か	かねこ	ひろひこ	3	Hirohiko	Kaneko	情報通信系	018	ライフエンジニアリングコース	003	情報通信系	018	情報通信コース	018																					視覚情報処理	Visual information processing	空間知覚	Space perception	多感覚情報統合	Multisensory integration	眼球運動	Eye movements	http://www.kaneko.ip.titech.ac.jp/		key_rid=1000321719		ｶﾈｺ	ﾋﾛﾋｺ				
24	生命理工学系	024	教授	001	蒲池	利章	か	かまち	としあき	3	Toshiaki 	Kamachi	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					生物無機化学	Bioinorganic chemistry	光エネルギー変換	Photoenergy transduction	細胞内酸素濃度イメージング	Cellular oxygen concentration imaging			http://www.kamachi.bio.titech.ac.jp	http://www.kamachi.bio.titech.ac.jp	key_rid=1000203990		ｶﾏﾁ	ﾄｼｱｷ				
26	情報通信系	018	助教	004	神原	裕行	か	かんばら	ひろゆき	3	Hiroyuki 	Kanbara	情報通信系	018	ライフエンジニアリングコース	003																																			key_rid=6000012471		ｶﾝﾊﾞﾗ	ﾋﾛﾕｷ				
40	生命理工学系	024	准教授	002	北口	哲也	か	きたぐち	てつや	3	Tetsuya	Kitaguchi	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					蛍光タンパク質	Fluorescent protein	バイオセンサー	Biosensor	細胞生物学	Cell biology	抗体工学	Antibody engineering	http://www.ueda.res.titech.ac.jp/		key_t2r2Rid=CTT100740856		ｷﾀｸﾞﾁ	ﾃﾂﾔ				
