index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	機械系	015	教授	001	岡田	昌史	あ	おかだ	まさふみ	3	Masafumi	Okada	機械系	015	エンジニアリングデザインコース	002	機械系	015	機械コース	015																					ロボットの自律制御	Autonomous robot control	機構設計	Mechanism design	人の行動誘導	Human motion instruction	群制御	Swarm control	http://www.hcds.mech.e.titech.ac.jp/		key_rid=5000081296		ｵｶﾀﾞ	ﾏｻﾌﾐ			
	土木・環境工学系	026	教授	001	北詰	昌樹	か	きたづめ	まさき	3	Masaki	Kitazume	土木・環境工学系	026	エンジニアリングデザインコース	002	土木・環境工学系	026	土木工学コース	026																					土質力学	Soil mechanics	地盤工学	Geotechnical engineering	地盤改良	Ground improvement	遠心模型実験手法	Centrifuge model testing	http://www.geotech.cv.titech.ac.jp/index.html	http://www.geotech.cv.titech.ac.jp/index.html	key_rid=0000045660		ｷﾀﾂﾞﾒ	ﾏｻｷ			
	システム制御系	016	教授	001	倉林	大輔	か	くらばやし	だいすけ	3	Daisuke	Kurabayashi	システム制御系	016	システム制御コース	016	システム制御系	016	エンジニアリングデザインコース	002																					生物模倣システム	Biomimetic systems	創発システム	Emergence	群知能	Swarm intelligence	動作計画	Planning algorithms	http://www.irs.sc.e.titech.ac.jp/member_new.html	http://www.irs.sc.e.titech.ac.jp/member_new.html	key_rid=1000326022		ｸﾗﾊﾞﾔｼ	ﾀﾞｲｽｹ			
	融合理工学系	027	教授	001	西條	美紀	さ	さいじょう	みき	4	Miki	Saijo	融合理工学系	027	エンジニアリングデザインコース	002	システム制御系	016	エンジニアリングデザインコース	002	イノベーション科学系	029	イノベーション科学コース	029	技術経営専門職学位課程	030															コミュニケーションデザイン	Communication design	ユーザー中心設計	User centered desihn	知識管理論	Knowledge management	応用言語学（社会的相互作用）	Applied lingusitics and social interaction	http://www.saijo.esd.titech.ac.jp	http://www.saijo.esd.titech.ac.jp/?lang=en	key_rid=1000326054		ｻｲｼﾞｮｳ	ﾐｷ			
	融合理工学系	027	教授	001	齊藤	滋規	さ	さいとう	しげき	4	Shigeki 	Saito	融合理工学系	027	エンジニアリングデザインコース	002	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	イノベーション科学系	029	イノベーション科学コース	029	技術経営専門職学位課程	030											マイクロシステム	Micro-systems	材料科学	Material science	ロボティクス	Robotics	エンジニアリングデザイン	Engineering design	http://www.esd.titech.ac.jp/saito/	http://www.esd.titech.ac.jp/saito/	key_rid=1000279274		ｻｲﾄｳ	ｼｹﾞｷ			
	機械系	015	准教授	002	坂本	啓	さ	さかもと	ひらく	4	Hiraku	Sakamoto	機械系	015	エンジニアリングデザインコース	002	機械系	015	機械コース	015																					宇宙構造物工学	Space structure engineering	システム工学	Systems engineering	構造動力学	Structural dynamics			http://www.sddl.mech.e.titech.ac.jp/		key_t2r2Rid=CTT100556106		ｻｶﾓﾄ	ﾋﾗｸ			
	土木・環境工学系	026	准教授	002	佐々木	栄一	さ	ささき	えいいち	4	Eiichi	Sasaki	土木・環境工学系	026	土木工学コース	026	土木・環境工学系	026	エンジニアリングデザインコース	002																					構造工学	Structural engineering	維持管理工学	Mainternance engineering	耐震工学	Seismic engineering	構造モニタリング	Structural monitoring	http://www.sasaki.cv.ens.titech.ac.jp/index.html	http://www.sasaki.cv.ens.titech.ac.jp/english/index.html	key_rid=1000326052		ｻｻｷ	ｴｲｲﾁ			
	融合理工学系	027	特任講師	007	サデグザーデ ナザリ	メヘルダード	さ	さでぐざーで なざり	めへるだーど	4	Mehrdad	Sadeghzadeh Nazari	融合理工学系	027	エンジニアリングデザインコース	002																																			key_t2r2Rid=CTT100792953		ｻﾃﾞｸﾞｻﾞｰﾃﾞ ﾅｻﾞﾘ	ﾒﾍﾙﾀﾞｰﾄﾞ			
	機械系	015	教授	001	佐藤	千明	さ	さとう	ちあき	4	Chiaki	Sato	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																															key_rid=1000203947		ｻﾄｳ	ﾁｱｷ			
	システム制御系	016	教授	001	三平	満司	さ	さんぺい	みつじ	4	Mitsuji	Sampei	システム制御系	016	システム制御コース	016	システム制御系	016	エンジニアリングデザインコース	002																					非線形制御理論	Nonlinear control theory	制御応用	Control applications	劣駆動システム	Under-actuated systems			http://www.sl.sc.e.titech.ac.jp/~sampei/index-j.html	http://www.sl.sc.e.titech.ac.jp/~sampei/index-e.html	key_rid=1000203904		ｻﾝﾍﾟｲ	ﾐﾂｼﾞ			
	機械系	015	准教授	002	菅原	雄介	さ	すがはら	ゆうすけ	4	Yusuke	Sugahara	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	融合理工学系	027	エンジニアリングデザインコース	002																	ロボット工学	Robotics	機構とシステムの設計と制御	Design and control of mechanisms and systems	空力浮上式鉄道「エアロトレイン」	Aero-train: aerodynamically levitated train system 			http://www.msd.mech.e.titech.ac.jp/jp/	http://www.msd.mech.e.titech.ac.jp/en/	key_rid=B000004424		ｽｶﾞﾊﾗ	ﾕｳｽｹ			
	融合理工学系	027	助教	004	田岡	祐樹	た	たおか	ゆうき	4	Yuki	Taoka	融合理工学系	027	エンジニアリングデザインコース	002																									共創デザイン	Co-design	人間中心デザイン	Human centered design	エンジニアリングデザイン	Engineering design 	開発のための技術	Technology for development	http://www.esd.titech.ac.jp/saito/	http://www.esd.titech.ac.jp/saito/	key_t2r2Rid=CTT100605712		ﾀｵｶ	ﾕｳｷ			
	経営工学系	019	教授	001	妹尾	大	さ	せのお	だい	4	Dai	Senoo	経営工学系	019	経営工学コース	019	経営工学系	019	エンジニアリングデザインコース	002																					経営組織論	Theory of organization	経営戦略論	Theory of strategy	ナレッジマネジメント	Knowledge management	情報システム	Information systems	https://sites.google.com/site/senoodailab/introduction	https://sites.google.com/site/senoodailab/introduction	key_rid=5000039829		ｾﾉｵ	ﾀﾞｲ			
	建築学系	025	助教	004	田頭	まき	た	たがしら	まき	4	Maki	Tagashira	建築学系	025	エンジニアリングデザインコース	002																																			key_rid=R000004396		ﾀｶﾞｼﾗ	ﾏｷ			
	融合理工学系	027	教授	001	高田	潤一	た	たかだ	じゅんいち	4	Jun-ichi 	Takada	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002																					電気通信	Telecommunication	無線伝搬測定	Radio propagation measurement	電磁界シミュレーション	Electromagnetic simulation	国際開発工学	International development engineering	http://www.ap.ide.titech.ac.jp/index-j.html	http://www.ap.ide.titech.ac.jp/index.html	key_rid=1000010459		ﾀｶﾀﾞ	ｼﾞｭﾝｲﾁ			
	融合理工学系	027	教授	001	高橋	邦夫	た	たかはし	くにお	4	Kunio	Takahashi	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002	融合理工学系	027	エネルギーコース	001																	機械工学	Mechanical engineering	材料工学	Material science	接合工学	Welding and joining 	トライボロジー	Tribology	http://www.ide.titech.ac.jp/~KT-lab/	http://www.ide.titech.ac.jp/~KT-lab/	key_rid=1000015374		ﾀｶﾊｼ	ｸﾆｵ			
	機械系	015	教授	001	武田	行生	た	たけだ	ゆきお	4	Yukio	Takeda	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	融合理工学系	027	エンジニアリングデザインコース	002																	機械システム設計	Mechanical systems design	ロボット工学	Robotics	機構学	Kinematics	福祉機械	Assistive device	http://www.msd.mech.e.titech.ac.jp/jp/	http://www.msd.mech.e.titech.ac.jp/en/	key_rid=1000015339		ﾀｹﾀﾞ	ﾕｷｵ			
	土木・環境工学系	026	准教授	002	竹村	次朗	た	たけむら	じろう	4	Jiro	Takemura	土木・環境工学系	026	土木工学コース	026	土木・環境工学系	026	エンジニアリングデザインコース	002																					地盤工学	Geotechnical engineering	地盤環境工学	Geo-environmental engineering					http://www.geotech.cv.titech.ac.jp/index.html	http://www.geotech.cv.titech.ac.jp/index.html	key_rid=1000203911		ﾀｹﾑﾗ	ｼﾞﾛｳ			
	機械系	015	特任准教授	006	田中	真二	た	たなか	しんじ	4	Shinji	Tanaka	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																					トライボロジー	Tribology	機械要素	Machine elements	流体機械	Fluid machinery			http://komatsu.first.iir.titech.ac.jp/index.html		key_rid=1000275221		ﾀﾅｶ	ｼﾝｼﾞ			
