index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
19	建築学系	025	教授	001	坂田	弘安	さ	さかた	ひろやす	4	Hiroyasu	Sakata	建築学系	025	建築学コース	025	建築学系	025	都市・環境学コース	006																					コンクリート構造	Concrete structure	木質構造	Timber structure	制振構造	Passive control structure	耐震設計	Seismic design	http://www.sakata-lab.arch.titech.ac.jp/	http://www.sakata-lab.arch.titech.ac.jp/	key_rid=1000101859		ｻｶﾀ	ﾋﾛﾔｽ						
20	土木・環境工学系	026	教授	001	坂野	達郎	さ	さかの	たつろう	4	Tatsurou	Sakano	土木・環境工学系	026	都市・環境学コース	006	建築学系	025	都市・環境学コース	006																															key_rid=1000279092		ｻｶﾉ	ﾀﾂﾛｳ						
	建築学系	025	特任助教	008	坂村	圭	さ	さかむら	けい	4	Kei	Sakamura	建築学系	025	都市・環境学コース	006																									都市計画	Urban planning	都市デザイン	Urban design	まちづくり	Community design			http://www.nakai-lab.arch.titech.ac.jp/public_html/	http://www.nakai-lab.arch.titech.ac.jp/public_html/	key_rid=B000306291		ｻｶﾑﾗ	ｹｲ						
21	建築学系	025	准教授	002	佐藤	大樹	さ	さとう	だいき	4	Daiki	Sato	建築学系	025	建築学コース	025	建築学系	025	都市・環境学コース	006																					制振構造	Response control building	免震構造	Seismically isolated building	耐風設計	Wind-resistant design			https://sites.google.com/site/daikisatotokyotech/	https://sites.google.com/site/daikisatotokyotech/	key_rid=5000040177		ｻﾄｳ	ﾀﾞｲｷ						
22	建築学系	025	特任准教授	006	佐藤	俊明	さ	さとう	としあき	4	Toshiaki	Satoh	建築学系	025	都市・環境学コース	006																									空間解析	Spatial analisys	地理情報システム	GIS	可視化技術	Visualization	3次元モデル	3D model	https://www.pasco.co.jp/	https://www.pasco.co.jp/eng/	key_t2r2Rid=CTT100638626		ｻﾄｳ	ﾄｼｱｷ						
23	土木・環境工学系	026	准教授	002	真田	純子	さ	さなだ	じゅんこ	4	Junko	Sanada	土木・環境工学系	026	都市・環境学コース	006	建築学系	025	都市・環境学コース	006																					緑地計画史	History of park system	農村景観	Rural landscape					http://sanada.cv.ens.titech.ac.jp/	http://sanada.cv.ens.titech.ac.jp/	key_t2r2Rid=CTT100514425		ｻﾅﾀﾞ	ｼﾞｭﾝｺ						
24	建築学系	025	特任教授	005	末松	孝司	さ	すえまつ	たかし	4	Takashi	Suematsu	建築学系	025	都市・環境学コース	006																																			key_t2r2Rid=CTT100624071		ｽｴﾏﾂ	ﾀｶｼ						
25	建築学系	025	助教	004	杉田	早苗	さ	すぎた	さなえ	4	Sanae	Sugita	建築学系	025	都市・環境学コース	006																									コミュニティ・デザイン	Community design	都市計画史	History of city planning					http://www.dohi-lab.arch.titech.ac.jp/	http://www.dohi-lab.arch.titech.ac.jp/	key_rid=1000279255		ｽｷﾞﾀ	ｻﾅｴ						
26	土木・環境工学系	026	特任准教授	006	鈴木	敦士	さ	すずき	あつし	4	Atsushi	Suzuki	土木・環境工学系	026	都市・環境学コース	006																																			key_t2r2Rid=CTT100660099		ｽｽﾞｷ	ｱﾂｼ						
27	土木・環境工学系	026	特定准教授	010	鈴木	高二朗	さ	すずき	こうじろう	4	Kojiro	Suzuki	土木・環境工学系	026	都市・環境学コース	006																									海岸工学	Coastal engineering	環境水理学	Environmental hydraulics					http://www.pari.go.jp/unit/msdtaiha/member/		key_rid=5000005552		ｽｽﾞｷ	ｺｳｼﾞﾛｳ						
