index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	地球惑星科学系	014	助教	004	ジルベル	アレクシ	さ	じるべる	あれくし	1	Gilbert	Alexis	地球惑星科学系	014	地球惑星科学コース	014																										Stable isotopes		Biogeochemistry		Organic geochemistry					key_t2r2Rid=CTT100736894		ｼﾞﾙﾍﾞﾙ	ｱﾚｸｼ	
13	地球惑星科学系	014	教授	001	関根	康人	さ	せきね	やすひと	4	Yasuhito	Sekine	地球惑星科学系	014	地球惑星科学コース	014																									地球惑星進化学	Evolution of earth and planets	アストロバイオロジー	Astrobiology	惑星表層環境学	Planetary surface environments			http://www.aquaplanetology.jp/sekine/index.html		key_rid=B000327201		ｾｷﾈ	ﾔｽﾋﾄ	
15	地球惑星科学系	014	教授	001	中島	淳一	な	なかじま	じゅんいち	3	Junichi	Nakajima	地球惑星科学系	014	地球惑星科学コース	014																									地震学	Seismology	地震テクトニクス	Seismotectonics	マントルダイナミクス	Mantle dynamics			http://www.geo.titech.ac.jp/lab/nakajima/index.html	http://www.geo.titech.ac.jp/lab/nakajima/index1.html	key_rid=5000064714		ﾅｶｼﾞﾏ	ｼﾞｭﾝｲチ	
16	地球惑星科学系	014	教授	001	中本	泰史	な	なかもと	たいし	3	Taishi	Nakamoto	地球惑星科学系	014	地球惑星科学コース	014																									宇宙物理学	Astrophysics	惑星科学	Planetary science	惑星形成理論	Theory of planet formation	星形成理論	Theory of star formation	http://www.geo.titech.ac.jp/lab/nakamoto/index-j.html	http://www.geo.titech.ac.jp/lab/nakamoto/index.html	key_rid=1000370189		ﾅｶﾓﾄ	ﾀｲｼ	
18	地球惑星科学系	014	教授	001	ハーンルンド	ジョン 	は	はーんるんど	じょん	2	John	Hernlund	地球惑星科学系	014	地球惑星科学コース	014																									惑星進化	Planet evolution							https://members.elsi.jp/~hernlund/	https://members.elsi.jp/~hernlund/	key_t2r2Rid=CTT100660095		ﾊｰﾝﾙﾝﾄﾞ	ｼﾞｮﾝ	
19	地球惑星科学系	014	助教	004	羽場	麻希子	は	はば	まきこ	2	Makiko	Haba	地球惑星科学系	014	地球惑星科学コース	014																									宇宙化学	Cosmochemistry	地球化学	Geochemistry	隕石学	Meteoritics			http://www.geo.titech.ac.jp/lab/yokoyama/index.html	http://www.geo.titech.ac.jp/lab/yokoyama/English/eng-index.html	key_t2r2Rid=CTT100725002		ﾊﾊﾞ	ﾏｷｺ	
20	地球惑星科学系	014	助教	004	平野	照幸	は	ひらの	てるゆき	2	Teruyuki	Hirano	地球惑星科学系	014	地球惑星科学コース	014																									太陽系外惑星	Extrasolar planets	トランジット惑星系	Transiting systems	惑星形成	Planet formation					key_t2r2Rid=CTT100696080		ﾋﾗﾉ	ﾃﾙﾕｷ	
21	地球惑星科学系	014	助教	004	松島	政貴	ま	まつしま	まさき	3	Masaki	Matsushima	地球惑星科学系	014	地球惑星科学コース	014																									地球惑星物理学	Geophysics and planetary physics	月・惑星探査	Exploration of moons and planets					http://www.geo.titech.ac.jp/~mmatsush/index_j.html	http://www.geo.titech.ac.jp/~mmatsush/index.html	key_rid=1000015962		ﾏﾂｼﾏ	ﾏｻｷ	
22	地球惑星科学系	014	教授	001	横山	哲也	や	よこやま	てつや	5	Tetsuya	Yokoyama	地球惑星科学系	014	地球惑星科学コース	014																									宇宙化学	Cosmochemistry	地球化学	Geochemistry	同位体年代学	Geochronology	分析化学	Analytical chemistry	http://www.geo.titech.ac.jp/lab/yokoyama/index.html	http://www.geo.titech.ac.jp/lab/yokoyama/English/eng-index.html	key_rid=1000288889		ﾖｺﾔﾏ	ﾃﾂﾔ	
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
