index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	情報工学系	023	准教授	002	金子	晴彦	か	かねこ	はるひこ	3	Haruhiko	Kaneko	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					高信頼コンピューティング	Dependable computing	誤り制御符号	Error control code	データ圧縮	Data compression			http://kaneko-www.cs.titech.ac.jp/index-j.html	http://kaneko-www.cs.titech.ac.jp/	key_rid=1000325880		ｶﾈｺ	ﾊﾙﾋｺ				
	情報工学系	023	准教授	002	金崎	朝子	か	かねざき	あさこ	3	Asako	Kanezaki	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					コンピュータビジョン	Computer vision	ロボティクス	Robotics	機械学習	Machine learning	3Dデータ認識	3D data recognition	https://kanezaki.github.io/index_jp.html	https://kanezaki.github.io/	key_rid=B000336619		ｶﾈｻﾞｷ	ｱｻｺ				
	情報工学系	023	特任准教授	006	川上	玲	か	かわかみ	れい	3	Rei	Kawakami	情報工学系	023	知能情報コース	005																									コンピュータビジョン	Computer vision	画像処理/マルチメディア	Image/multimedia processing	AR/VR/XR	AR/VR/XR	異常検知	Anomaly detection	https://d-itlab.c.titech.ac.jp/	https://d-itlab.c.titech.ac.jp/	key_t2r2Rid=CTT100826817		ｶﾜｶﾐ	ﾚｲ				
	情報工学系	023	准教授	002	吉瀬	謙二	か	きせ	けんじ	3	Kenji	Kise	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					計算機アーキテクチャ	Computer architecture							http://www.arch.cs.titech.ac.jp/	http://www.arch.cs.titech.ac.jp/index-e.html	key_rid=5000015817		ｷｾ	ｹﾝｼﾞ				
	情報工学系	023	特任助教	008	倉山	文男	か	くらやま	ふみお	3	Fumio	Kurayama	情報工学系	023	知能情報コース	005																									生物化学工学	Biochemical engineering	粉体工学	Powder technology	マイクロカプセル化技術	Microencapsulation techniques					key_t2r2Rid=CTT100758684		ｸﾗﾔﾏ	ﾌﾐｵ				
	情報工学系	023	助教	004	ゲタマン	グレッグリー	か	げたまん	ぐれっぐりー	2	Gregory	Gutmann	情報工学系	023	知能情報コース	005																									GPGPUコンピューティング	GPGPU computing	リアルタイムシミュレーション	Real-time simulation	バーチャルリアリティ	Virtual reality	ディープラーニング	Deep learning	http://konagaya-lab.com/jp/	http://konagaya-lab.com/en/	key_t2r2Rid=CTT100662073		ｹﾞﾀﾏﾝ	ｸﾞﾚｯｸﾞﾘｰ				
	情報工学系	023	教授	001	小池	英樹	か	こいけ	ひでき	3	Hideki 	Koike	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					ヒューマン・コンピュータインタラクション	Human-computer interaction	コンピュータビジョン	Computer vision	コンピュータグラフィックス	Computer graphics	情報セキュリティ	Information security	http://www.vogue.cs.titech.ac.jp/	http://www.vogue.cs.titech.ac.jp/	key_rid=5000015896		ｺｲｹ	ﾋﾃﾞｷ				
	情報工学系	023	准教授	002	小林	隆志	か	こばやし	たかし	3	Takashi	Kobayashi	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					ソフトウェア工学	Software engineering	ソフトウェア開発支援	Software development support	ソフトウェア保守・デバッグ	"Debugging, software maintenance"	ソフトウェア設計	Software design	http://www.sa.cs.titech.ac.jp/	http://www.sa.cs.titech.ac.jp/	key_rid=5000039865		ｺﾊﾞﾔｼ	ﾀｶｼ				
	情報工学系	023	助教	004	小林	憲正	か	こばやし	のりまさ	3	Norimasa	Kobayashi	情報工学系	023	知能情報コース	005																									意思決定科学	Dcision science	ゲーム理論	Game theory	合理的選択	Rational choice	科学哲学	Philosophy of science	http://www.valdes.titech.ac.jp/~nkoba/		key_rid=6000012463		ｺﾊﾞﾔｼ	ﾉﾘﾏｻ				
	情報工学系	023	助教	004	小宮	健	か	こみや	けん	3	Ken	Komiya	情報工学系	023	知能情報コース	005																									DNAナノテクノロジー	DNA nanotechnology	分子プログラミング	Molecular programming	分子ロボティクス	Molecular robotics	遺伝情報の起源	Origin of geneteic information	http://www.ali.c.titech.ac.jp/	http://www.ali.c.titech.ac.jp/en/index.html	key_rid=1000368198		ｺﾐﾔ	ｹﾝ				
	情報工学系	023	教授	001	権藤	克彦	か	ごんどう	かつひこ	2	Katsuhiko	Gondow	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					ソフトウェア工学	Software engineering	ソフトウェア開発ツール	Software development tools	プログラミング教育	Programming education	ソフトウェア開発における人的要素	Human factors in program development	http://www.sde.cs.titech.ac.jp/	http://www.sde.cs.titech.ac.jp/english/	key_rid=5000065024		ｺﾞﾝﾄﾞｳ	ｶﾂﾋｺ				
	情報工学系	023	准教授	002	齋藤	豪	さ	さいとう	すぐる	4	Suguru 	Saito	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																															key_rid=1000321709		ｻｲﾄｳ	ｽｸﾞﾙ				
	情報工学系	023	教授	001	佐伯	元司	さ	さえき	もとし	4	Motoshi	Saeki	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					ソフトウェア工学	Software engineering	要求工学	Requirements engineering	ソフトウェア開発方法論	Software development methodology			http://www.se.cs.titech.ac.jp/	http://www.se.cs.titech.ac.jp/	key_rid=1000015475		ｻｴｷ	ﾓﾄｼ				
	情報工学系	023	特任准教授	006	佐藤	育郎	さ	さとう	いくろう	4	Ikuro	Sato	情報工学系	023	知能情報コース	005																									パターン認識	Pattern recognition	機械学習	Machine learning	画像センシング	Image sensing	自動運転	Autonomous driving	https://d-itlab.c.titech.ac.jp/	https://d-itlab.c.titech.ac.jp/	key_t2r2Rid=CTT100826815		ｻﾄｳ	ｲｸﾛｳ				
	情報工学系	023	特任助教	008	佐藤	直樹	さ	さとう	なおき	4	Naoki	Sato	情報工学系	023	知能情報コース	005																																			key_t2r2Rid=CTT100760271		ｻﾄｳ	ﾅｵｷ				
	情報工学系	023	教授	001	篠田	浩一	さ	しのだ	こういち	4	Koichi	Shinoda	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					音声認識	Speech recognition	映像情報検索	Video information retrieval	マルチメディア認証	Multimedia authentification	マン・マシンインタラクション	Man-machine interaction	http://www.ks.c.titech.ac.jp/japanese/index.html	 http://www.ks.c.titech.ac.jp/english/index.html	key_rid=5000064998		ｼﾉﾀﾞ	ｺｳｲﾁ				
	情報工学系	023	特定教授	009	柴田	崇徳	さ	しばた	たかのり	4	Takanori 	Shibata	情報工学系	023	知能情報コース	005																																			key_rid=0000015790		ｼﾊﾞﾀ	ﾀｶﾉﾘ				
	情報工学系	023	准教授	002	下坂	正倫	さ	しもさか	まさみち	4	Masamichi	Shimosaka	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					知覚情報処理	Machine intelligence	統計的データ解析	Data analytics	ユビキタスコンピューティング	Ubiquitous computing	ビッグデータ/IOT	Big data /IOT	http://www.miubiq.cs.titech.ac.jp/ja/	http://www.miubiq.cs.titech.ac.jp/	key_t2r2Rid=CTT100692412		ｼﾓｻｶ	ﾏｻﾐﾁ				
	情報工学系	023	准教授	002	関嶋	政和	さ	せきじま	まさかず	4	Masakazu 	Sekijima	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					創薬インフォマティクス	Chemoinformatics	バイオインフォマティクス	Bioinformatics	分子シミュレーション	Molecular simulation	高性能計算	High performance computing	http://www.cbi.c.titech.ac.jp	http://www.cbi.c.titech.ac.jp	key_rid=5000087557		ｾｷｼﾞﾏ	ﾏｻｶｽﾞ				
	情報工学系	023	助教	004	髙瀬	翔	た	たかせ	しょう	4	Sho	Takase	情報工学系	023	知能情報コース	005																									自然言語処理	Natural language processing	人工知能	Artificial intelligence	機械学習	Machine learning			https://takase.github.io/	https://takase.github.io/	key_t2r2Rid=CTT100826349		ﾀｶｾ	ｼｮｳ				
	数理・計算科学系	022	特任教授	005	高安	秀樹	た	たかやす	ひでき	4	Hideki	Takayasu	数理・計算科学系	022	知能情報コース	005																																			key_t2r2Rid=CTT100682948		ﾀｶﾔｽ	ﾋﾃﾞｷ				
	数理・計算科学系	022	教授	001	高安	美佐子	た	たかやす	みさこ	4	Misako	Takayasu	数理・計算科学系	022	知能情報コース	005	システム制御系	016	システム制御コース	016	数理・計算科学系	022	数理・計算科学コース	022	情報工学系	023	知能情報コース	005													ビッグデータ解析	Big data analysis	"社会・経済物理学, 生物物理学"	"Econo-sociophysics,biophysics"	現象数理モデリング・シミュレーション	Modeling and simulation of complex phenomena 	統計物理学	Statistical physics	http://www.smp.dis.titech.ac.jp/	http://www.smp.dis.titech.ac.jp/en/	key_rid=5000085874		ﾀｶﾔｽ	ﾐｻｺ				
	情報工学系	023	准教授	002	瀧ノ上	正浩	た	たきのうえ	まさひろ	4	Masahiro	Takinoue	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023	生命理工学系	024	生命理工学コース	024													DNA情報デバイス・分子ロボット・分子コンピュータ	"DNA information devices, Molecular robots, Molecular computers"	バイオ電子機械ハイブリッド・サイバネティクス	"Bio-electro-mechano hybrid systems, Cybernetics"	生物物理学・マイクロ流体・ソフトマター	"Biophysics, Microfluidics, Soft matter"	人工生命・合成生物学	"Artificial life, Synthetic biology"	http://www.takinoue-lab.jp/	http://www.takinoue-lab.jp/en/	key_rid=5000090703		ﾀｷﾉｳｴ	ﾏｻﾋﾛ				
	情報工学系	023	助教	004	チャン	シュアン	た	ちゃん	しゅあん	1	Shuang	Chang	情報工学系	023	知能情報コース	005																									社会シミュレーション	Social simulation									key_t2r2Rid=CTT100621331		ﾁｬﾝ	ｼｭｱﾝ				
	情報工学系	023	教授	001	出口	弘	た	でぐち	ひろし	1	Hiroshi 	Deguchi	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																											key_rid=1000326001		ﾃﾞｸﾞﾁ	ﾋﾛｼ				
	情報工学系	023	教授	001	デファゴ	クサビエ	た	でふぁご	くさびえ	1	Xavier 	Defago	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					分散アルゴリズム	Distributed algorithms	高信頼性	Dependable computing	ミドルウェア	Middleware	自律分散ロボット群	Cooperative mobile robotics	http://www.coord.c.titech.ac.jp	http://www.coord.c.titech.ac.jp	key_rid=5000087741		ﾃﾞﾌｧｺﾞ	ｸｻﾋﾞｴ				
	情報工学系	023	教授	001	徳永	健伸	た	とくなが	たけのぶ	4	Takenobu	Tokunaga	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					自然言語処理	Natural language processing	計算言語学	Computational linguistics	知的情報アクセス	Intelligent information access	言語資源	Language resources	https://www.cl.c.titech.ac.jp//ja/start	https://www.cl.c.titech.ac.jp/en/start	key_rid=7000017616		ﾄｸﾅｶﾞ	ﾀｹﾉﾌﾞ				
	情報工学系	023	教授	001	西崎	真也	な	にしざき	しんや	3	Shin-ya	Nishizaki	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					プログラミング言語理論	Programming language theory	ソフトウェア検証論	Software verification					http://www.lambda.cs.titech.ac.jp/	http://www.lambda.cs.titech.ac.jp/english/	key_rid=1000279288		ﾆｼｻﾞｷ	ｼﾝﾔ				
	情報工学系	023	准教授	002	林	晋平	は	はやし	しんぺい	2	Shinpei	Hayashi	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					ソフトウェア工学	Software engineering	ソフトウェア保守と進化	Software maintenance and evolution	ソフトウェア開発環境	Software development environment	ソフトウェアリポジトリマイニング	Mining software repositories	https://se.c.titech.ac.jp/~hayashi/	https://se.c.titech.ac.jp/~hayashi/	key_rid=6000021699		ﾊﾔｼ	ｼﾝﾍﾟｲ				
	情報工学系	023	准教授	002	藤井	敦	は	ふじい	あつし	2	Atsushi	Fujii	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					自然言語処理	Natural language processing	情報検索	Information retrieval	ウェブマイニング	Web mining					key_rid=1000263342		ﾌｼﾞｲ	ｱﾂｼ				
	情報工学系	023	教授	001	三宅	美博	ま	みやけ	よしひろ	3	Yoshihiro	Miyake	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																	共創システム	Co-creation system	コミュニケーション科学	Communication science	認知神経科学	Cognitive neuroscience	ヒューマンインタフェース	Human interface	http://www.myk.dis.titech.ac.jp	http://www.myk.dis.titech.ac.jp	key_t2r2Rid=CTT100381357		ﾐﾔｹ	ﾖｼﾋﾛ				
	情報工学系	023	教授	001	宮崎	純	ま	みやざき	じゅん	3	Jun	Miyazaki	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					情報検索	Information retrieval	情報推薦	Information recommendation	高性能計算	High performance computing	大規模情報管理	Large-scale information management	http://www.lsc.cs.titech.ac.jp/miyazaki	http://www.lsc.cs.titech.ac.jp/en/miyazaki	key_rid=1000222814		ﾐﾔｻﾞｷ	ｼﾞｭﾝ				
	情報工学系	023	教授	001	村田	剛志	ま	むらた	つよし	3	Tsuyoshi	Murata	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					人工知能	Artificial intelligence	Webマイニング	Web mining	社会ネットワーク分析	Social network analysis			http://www.net.c.titech.ac.jp/index-j.html	http://www.net.c.titech.ac.jp/index.html	key_rid=1000015515		ﾑﾗﾀ	ﾂﾖｼ				
	数理・計算科学系	022	准教授	002	室伏	俊明	ま	むろふし	としあき	3	Toshiaki	Murofushi	数理・計算科学系	022	数理・計算科学コース	022	数理・計算科学系	022	知能情報コース	005																					非加法的測度論	Non-additive measure theory	集合関数論	Theory of set functions	形式概念分析	Formal concept analysis	情報視覚化	Information visualization	http://www.fz.dis.titech.ac.jp/~murofusi/index_j.html	http://www.fz.dis.titech.ac.jp/~murofusi/	key_rid=1000017402		ﾑﾛﾌｼ	ﾄｼｱｷ				
	情報工学系	023	特定教授	009	本村	陽一	ま	もとむら	よういち	3	Yoichi 	Motomura	情報工学系	023	知能情報コース	005																																					ﾓﾄﾑﾗ	ﾖｳｲﾁ				
	情報工学系	023	助教	004	柳澤	渓甫	や	やなぎさわ	けいすけ	5	Keisuke	Yanagisawa	情報工学系	023	知能情報コース	005																									バイオインフォマティクス	Bioinformatics 	機械学習	Machine learning 	創薬支援計算	Computational drug discovery	ケモインフォマティクス	Cheminformatics	https://keisuke-yanagisawa.github.io/	https://keisuke-yanagisawa.github.io/en/	key_t2r2Rid=CTT100606473		ﾔﾅｷﾞｻﾜ	ｹｲｽｹ				
	情報工学系	023	特定教授	009	矢野	和男	や	やの	かずお	5	Kazuo 	Yano	情報工学系	023	知能情報コース	005																									人間行動データ分析	Human-dynamics data analytics	人工知能・機械学習	Artificial intelligence & machine learning	幸福（ハピネス）	Happiness	ネットワーク分析	Network analysis	https://www.facebook.com/yano.labo	https://www.facebook.com/yano.labo			ﾔﾉ	ｶｽﾞｵ				
	情報工学系	023	特任教授	005	山田	誠二	や	やまだ	せいじ	5	Seiji	Yamada	情報工学系	023	知能情報コース	005																									ヒューマンエージェントインタラクション	Human-agent interaction	知的インタラクティブシステム	Intelligent interactive systems	人工知能	Artificial intelligence	ユーザインタフェース	User interface	http://www.ymd.nii.ac.jp/lab/	http://www.ymd.nii.ac.jp/lab/en/			ﾔﾏﾀﾞ	ｾｲｼﾞ				
	情報工学系	023	教授	001	山村	雅幸	や	やまむら	まさゆき	5	Masayuki 	Yamamura	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023	生命理工学系	024	生命理工学コース	024													システム生物学	Systems biology	合成生物学	Synthetic biology	人工知能	Artificial intelligence	人工生命	Artifical life	http://www.ali.c.titech.ac.jp/	http://www.ali.c.titech.ac.jp/en/index.html	key_rid=1000222078		ﾔﾏﾑﾗ	ﾏｻﾕｷ				
	情報工学系	023	教授	001	横田	治夫	や	よこた	はるお	5	Haruo	Yokota	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					データベースシステム	Database system	ディペンダブルデータ処理	Dependable data processing	セキュアデータアクセス	Secure data access	インテリジェントコンテンツ検索	Intelligent contents retrieval	http://yokota-www.cs.titech.ac.jp/index.html.ja	http://yokota-www.cs.titech.ac.jp/index.html.en	key_rid=1000279000		ﾖｺﾀ	ﾊﾙｵ				
	情報工学系	023	准教授	002	横田	理央	や	よこた	りお	5	Rio	Yokota	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					高性能計算	High performance computing	大規模並列計算	Large-scale parallel computing	流体シミュレーション	Fluid simulation	分子シミュレーション	Molecular simulation	http://www.rio.gsic.titech.ac.jp	http://www.rio.gsic.titech.ac.jp	key_rid=5000097684		ﾖｺﾀ	ﾘｵ				
	情報工学系	023	特任教授	005	吉川	厚	や	よしかわ	あつし	5	Atsushi	Yoshikawa	情報工学系	023	知能情報コース	005																									教育サービス論	Educationak servics	ゲーム情報学	Game infomatics	情報資源管理学	Indomation resouse manegment			http://www.trn.dis.titech.ac.jp/yoshi_lab/	http://www.trn.dis.titech.ac.jp/yoshi_lab/english/index.html	key_rid=B000000117		ﾖｼｶﾜ	ｱﾂｼ				
	情報工学系	023	教授	001	渡部	卓雄	わ	わたなべ	たくお	5	Takuo 	Watanabe	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					プログラミング言語	Programming languages	サイバーフィジカルシステム	Cyber-physical systems	自己反映計算とメタプログラミング	Reflection and Metaprogramming	形式手法	Formal methods	https://www.psg.c.titech.ac.jp	https://www.psg.c.titech.ac.jp	key_rid=5000013922		ﾜﾀﾅﾍﾞ	ﾀｸｵ				
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
