index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	経営工学系	019	助教	004	栗栖	大輔	か	くりす	だいすけ	3	Daisuke	Kurisu	経営工学系	019	経営工学コース	019																									数理統計学	Mathematical statistics	計量経済学	Econometrics	時系列解析	Time series analysis	ノンパラメトリック統計	Nonparametric statistics	https://sites.google.com/site/daisukekurisu/home	https://sites.google.com/site/daisukekurisu/home	key_t2r2Rid=CTT100763086		ｸﾘｽ	ﾀﾞｲｽｹ	
	経営工学系	019	准教授	002	シーボーン	ケイティー	さ	しーぼーん	けいてぃー	4	Katie	Seaborn	経営工学系	019	経営工学コース	019																									人間工学	Human factors engineering	シリアスゲーム・ゲーミフィケーション	Serious games and gamification	ユニバーサルデザイン	Inclusive design	態度と行動変化の方法	Attitude and behaviour change methods	https://aspirelab.io	https://aspirelab.io	key_rid=R000000514		ｼｰﾎﾞｰﾝ	ｹｲﾃｨｰ	
	経営工学系	019	教授	001	塩浦	昭義	さ	しおうら	あきよし	4	Akiyoshi	Shioura	経営工学系	019	経営工学コース	019																									組合せ最適化の理論	Theory of combinatorial optimization	数理最適化	Mathematical optimization	オペレーションズ・リサーチ	Operations research	アルゴリズム理論	Algorithm theory	http://www.iee.e.titech.ac.jp/~shioura/index.html	http://www.iee.e.titech.ac.jp/~shioura/index.html	key_rid=1000365732		ｼｵｳﾗ	ｱｷﾖｼ	
	経営工学系	019	准教授	002	鍾	淑玲	さ	しょう	しゅくれい	1	Sulin	Chung	経営工学系	019	経営工学コース	019																									マーケティング	Marketing	流通	Distribution strategies	小売国際化	Retail internationalization	ブランド戦略	Branding strategy	http://www.iee.e.titech.ac.jp/~chunglab/	http://www.iee.e.titech.ac.jp/~chunglab/	key_rid=5000046565		ｼｮｳ	ｼｭｸﾚｲ	
	経営工学系	019	准教授	002	鈴木	定省	さ	すずき	さだみ	4	Sadami 	Suzuki	経営工学系	019	経営工学コース	019																									オペレーションズマネジメント	Operations management	生産管理	Production management	サプライチェーンマネジメント	Supply chain management	顧客価値創造	Customer value creation	http://www.iee.e.titech.ac.jp/~suzukilab/	http://www.iee.e.titech.ac.jp/~suzukilab/	key_rid=1000321731		ｽｽﾞｷ	ｻﾀﾞﾐ	
	経営工学系	019	教授	001	妹尾	大	さ	せのお	だい	4	Dai	Senoo	経営工学系	019	経営工学コース	019	経営工学系	019	エンジニアリングデザインコース	002																					経営組織論	Theory of organization	経営戦略論	Theory of strategy	ナレッジマネジメント	Knowledge management	情報システム	Information systems	https://sites.google.com/site/senoodailab/introduction	https://sites.google.com/site/senoodailab/introduction	key_rid=5000039829		ｾﾉｵ	ﾀﾞｲ	
	経営工学系	019	准教授	002	中田	和秀	な	なかた	かずひで	3	Kazuhide	Nakata	経営工学系	019	経営工学コース	019	数学系	011	数学コース	011																					社会科学	Social science	経営工学	Industrial engineering	最適化	Optimization	機械学習	Machine learning	http://www.iee.e.titech.ac.jp/~nakatalab/	http://www.iee.e.titech.ac.jp/~nakatalab/	key_rid=5000039839		ﾅｶﾀ	ｶｽﾞﾋﾃﾞ	
	経営工学系	019	准教授	002	永田	京子	な	ながた	きょうこ	3	Kyoko	Nagata	経営工学系	019	経営工学コース	019																									財務情報と資本市場	Corporate disclosure and capital market	利益調整行動	Earnings management	コーポレート・ガバナンス	Corporate governance			http://www.iee.e.titech.ac.jp/~ngt_lab/	http://www.iee.e.titech.ac.jp/~ngt_lab/	key_rid=5000039862		ﾅｶﾞﾀ	ｷｮｳｺ	
	経営工学系	019	准教授	002	福田	恵美子	は	ふくだ	えみこ	2	Emiko	Fukuda	経営工学系	019	経営工学コース	019																									ゲーム理論	Game theory	インダストリアル・エコノミクス	Industrial economics	実験経済学	Experimental economics	数値計算	Numerical calculation	http://www.iee.e.titech.ac.jp/~fukudalab/	http://www.iee.e.titech.ac.jp/~fukudalab/	key_t2r2Rid=CTT100725001		ﾌｸﾀﾞ	ｴﾐｺ	
	経営工学系	019	准教授	002	堀	健夫	は	ほり	たけお	2	Takeo	Hori	経営工学系	019	経営工学コース	019																									経済成長	Economic growth	技術進歩	Technological progress	財政・金融政策	Fiscal and Monetary policies			https://sites.google.com/view/takeohori	https://sites.google.com/view/takeohori	key_t2r2Rid=CTT100697196		ﾎﾘ	ﾀｹｵ	
